date,index
1926-06-30,100
1926-07-01,99.589600000000004
1926-07-02,100.41589999999999
1926-07-06,100.65649999999999
1926-07-07,100.70650000000001
1926-07-08,100.9378
1926-07-09,99.998699999999999
1926-07-12,100.9397
1926-07-13,101.58540000000001
1926-07-14,101.9101
1926-07-15,101.655
1926-07-16,102.539
1926-07-19,103.04170000000001
1926-07-20,102.29940000000001
1926-07-21,101.88979999999999
1926-07-22,100.8502
1926-07-23,100.7893
1926-07-26,101.22199999999999
1926-07-27,101.6974
1926-07-28,102.97839999999999
1926-07-29,103.67829999999999
1926-07-30,103.8231
1926-08-02,104.0609
1926-08-03,105.4237
1926-08-04,105.2231
1926-08-05,105.2753
1926-08-06,105.8539
1926-08-09,107.4367
1926-08-10,105.7495
1926-08-11,105.0089
1926-08-12,105.6386
1926-08-13,106.39879999999999
1926-08-16,107.6683
1926-08-17,106.5913
1926-08-18,106.6442
1926-08-19,105.8013
1926-08-20,105.26130000000001
1926-08-23,106.1358
1926-08-24,104.9786
1926-08-25,104.28530000000001
1926-08-26,104.85850000000001
1926-08-27,105.0364
1926-08-30,105.71899999999999
1926-08-31,106.1521
1926-09-01,106.7037
1926-09-02,106.6927
1926-09-03,107.1617
1926-09-07,107.8257
1926-09-08,107.2431
1926-09-09,107.36069999999999
1926-09-10,106.68389999999999
1926-09-13,106.0645
1926-09-14,106.79600000000001
1926-09-15,106.7636
1926-09-16,106.0158
1926-09-17,104.6478
1926-09-20,104.1698
1926-09-21,105.0236
1926-09-22,104.6241
1926-09-23,104.67610000000001
1926-09-24,105.6073
1926-09-27,105.3218
1926-09-28,105.30029999999999
1926-09-29,105.4789
1926-09-30,106.0692
1926-10-01,107.4053
1926-10-04,105.57040000000001
1926-10-05,104.2081
1926-10-06,103.79089999999999
1926-10-07,103.5311
1926-10-08,104.0484
1926-10-11,102.2967
1926-10-13,103.3398
1926-10-14,104.2384
1926-10-15,102.0699
1926-10-18,101.92059999999999
1926-10-19,100.5851
1926-10-20,100.0617
1926-10-21,101.5823
1926-10-22,101.4194
1926-10-25,101.85380000000001
1926-10-26,102.271
1926-10-27,103.6615
1926-10-28,103.26730000000001
1926-10-29,103.081
1926-11-01,103.1511
1926-11-03,103.4293
1926-11-04,104.37009999999999
1926-11-05,104.7663
1926-11-08,106.26739999999999
1926-11-09,106.3308
1926-11-10,105.69240000000001
1926-11-11,106.5164
1926-11-12,107.34690000000001
1926-11-15,107.752
1926-11-16,107.73009999999999
1926-11-17,106.7709
1926-11-18,106.0765
1926-11-19,105.22750000000001
1926-11-22,106.6093
1926-11-23,106.39570000000001
1926-11-24,107.0337
1926-11-26,107.7183
1926-11-29,107.0398
1926-11-30,106.7932
1926-12-01,107.11320000000001
1926-12-02,107.9269
1926-12-03,108.3258
1926-12-06,108.6939
1926-12-07,108.59569999999999
1926-12-08,108.3672
1926-12-09,108.93040000000001
1926-12-10,109.4855
1926-12-13,109.94540000000001
1926-12-14,110.47280000000001
1926-12-15,110.7927
1926-12-16,109.7731
1926-12-17,111.3095
1926-12-20,111.285
1926-12-21,111.1733
1926-12-22,111.2396
1926-12-23,111.6953
1926-12-24,112.03
1926-12-27,111.60380000000001
1926-12-28,110.2754
1926-12-29,110.7381
1926-12-30,110.2948
1926-12-31,110.59220000000001
1927-01-03,109.3531
1927-01-04,109.6808
1927-01-05,109.834
1927-01-06,109.559
1927-01-07,110.02970000000001
1927-01-10,110.62430000000001
1927-01-11,110.3805
1927-01-12,110.5898
1927-01-13,110.324
1927-01-14,110.14709999999999
1927-01-17,109.82680000000001
1927-01-18,109.69459999999999
1927-01-19,110.6266
1927-01-20,110.4492
1927-01-21,110.3605
1927-01-24,109.62179999999999
1927-01-25,108.5581
1927-01-26,109.06789999999999
1927-01-27,108.58759999999999
1927-01-28,108.7067
1927-01-31,110.1784
1927-02-01,110.0017
1927-02-02,110.6504
1927-02-03,111.0372
1927-02-04,110.9258
1927-02-07,110.6814
1927-02-08,110.4928
1927-02-09,110.6692
1927-02-10,111.11150000000001
1927-02-11,111.5778
1927-02-14,112.5146
1927-02-15,112.3229
1927-02-16,112.345
1927-02-17,112.5244
1927-02-18,112.6477
1927-02-21,112.5797
1927-02-23,113.8853
1927-02-24,114.1354
1927-02-25,114.6144
1927-02-28,115.2657
1927-03-01,115.127
1927-03-02,113.699
1927-03-03,114.9379
1927-03-04,114.50069999999999
1927-03-07,113.5746
1927-03-08,113.6992
1927-03-09,114.5515
1927-03-10,115.0437
1927-03-11,115.2158
1927-03-14,115.619
1927-03-15,114.79770000000001
1927-03-16,115.6123
1927-03-17,116.0744
1927-03-18,115.3079
1927-03-21,115.3648
1927-03-22,113.83
1927-03-23,114.3533
1927-03-24,115.0275
1927-03-25,115.36069999999999
1927-03-28,115.85680000000001
1927-03-29,116.0997
1927-03-30,115.1473
1927-03-31,115.68810000000001
1927-04-01,116.3586
1927-04-04,116.66
1927-04-05,117.05629999999999
1927-04-06,117.43040000000001
1927-04-07,117.1129
1927-04-08,117.1828
1927-04-11,117.3113
1927-04-12,117.0059
1927-04-13,117.3916
1927-04-14,117.8138
1927-04-18,118.4149
1927-04-19,118.5921
1927-04-20,118.62730000000001
1927-04-21,118.5557
1927-04-22,118.496
1927-04-25,116.738
1927-04-26,117.5548
1927-04-27,117.0136
1927-04-28,115.67919999999999
1927-04-29,116.2341
1927-05-02,116.0009
1927-05-03,116.7313
1927-05-04,117.7231
1927-05-05,118.11109999999999
1927-05-06,118.0162
1927-05-09,118.59480000000001
1927-05-10,118.8078
1927-05-11,118.6292
1927-05-12,118.261
1927-05-13,119.27760000000001
1927-05-16,118.4421
1927-05-17,119.12860000000001
1927-05-18,119.5213
1927-05-19,119.7958
1927-05-20,120.7657
1927-05-23,121.1009
1927-05-24,121.2094
1927-05-25,121.68170000000001
1927-05-26,121.2676
1927-05-27,121.61879999999999
1927-05-31,122.154
1927-06-01,122.9843
1927-06-02,122.8485
1927-06-03,121.69329999999999
1927-06-06,122.69280000000001
1927-06-07,122.2752
1927-06-08,122.3115
1927-06-09,122.2132
1927-06-10,121.6872
1927-06-14,119.8629
1927-06-15,120.82129999999999
1927-06-16,121.5217
1927-06-17,121.6185
1927-06-20,121.39919999999999
1927-06-21,121.2409
1927-06-22,121.19199999999999
1927-06-23,120.5492
